block_id,route_id,trip_headsign,service_id,shape_id,trip_id
a_334,3,Ottawa South to Downtown,muwtf_merged_998634,301,501807
a_332,3,Ottawa South to Downtown,muwtf_merged_998634,301,501804
a_334,3,Ottawa South to Downtown,muwtf_merged_998634,301,501805
b_932,9,Lakeshore to UW,muwtf_merged_998639,901,546832
b_705,7,D UW via University,muwtf_merged_998639,708,545214
b_934,9,Lakeshore to UW,muwtf_merged_998639,901,546833
b_731,7,D UW via University,muwtf_merged_998639,708,545213
b_939,9,Lakeshore to UW,muwtf_merged_998639,901,546830
b_704,7,D UW via University,muwtf_merged_998639,708,545212
b_940,5,Erb West,muwtf_merged_998639,501,546300
b_932,5,Erb West,muwtf_merged_998639,501,546301
b_934,5,Erb West,muwtf_merged_998639,501,546302
b_931,5,Erb West,muwtf_merged_998639,501,546303
b_940,5,Erb West,muwtf_merged_998639,501,546304
b_936,5,Erb West,muwtf_merged_998639,501,546305
b_1243,5,Erb West,muwtf_merged_998639,501,546306
b_1242,5,Erb West,muwtf_merged_998639,501,546307
b_934,5,Erb West,muwtf_merged_998639,501,546308
b_1242,5,Erb West,muwtf_merged_998639,501,546309
a_1232,31,Conestoga Mall,muwtf_merged_998634,3101,503351
b_1382,9,Lakeshore to UW,muwtf_merged_998639,901,546837
b_5532,59,Christopher,a_merged_998635,5900,550935
b_132,25,Queen South to Downtown,muwtf_merged_998639,2511,545969
b_2531,25,Queen South to Downtown,muwtf_merged_998639,2511,545968
b_2401,24,Highland to Downtown,a_merged_998635,2411,549757
b_2532,25,Queen South,muwtf_merged_998639,2501,545965
b_2532,25,Queen South,muwtf_merged_998639,2501,545964
b_2531,25,Queen South,muwtf_merged_998639,2501,545967
b_2532,25,Queen South,muwtf_merged_998639,2501,545966
b_2532,25,Queen South via Overlea,muwtf_merged_998639,2502,545961
b_2534,25,Queen South via Overlea,muwtf_merged_998639,2502,545960
b_2532,25,Queen South,muwtf_merged_998639,2501,545963
b_2532,25,Queen South via Overlea,muwtf_merged_998639,2502,545962
b_2231,23,Downtown,a_merged_998635,2311,549753
b_231,15,Frederick,muwtf_merged_998639,1501,546047
b_2236,15,Frederick,muwtf_merged_998639,1501,546046
b_2281,15,Frederick,muwtf_merged_998639,1501,546045
b_2234,15,Frederick,muwtf_merged_998639,1501,546044
a_2532,24,Highland,a_merged_998630,2401,506469
a_2532,24,Highland,a_merged_998630,2401,506468
b_233,15,Frederick,muwtf_merged_998639,1501,546041
b_231,15,Frederick,muwtf_merged_998639,1501,546040
a_2532,24,Highland,a_merged_998630,2401,506465
a_2402,24,Highland,a_merged_998630,2401,506464
a_2532,24,Highland,a_merged_998630,2401,506467
a_2532,24,Highland,a_merged_998630,2401,506466
a_2401,24,Highland,a_merged_998630,2401,506461
a_2402,24,Highland,a_merged_998630,2401,506460
a_2401,24,Highland,a_merged_998630,2401,506463
a_2402,24,Highland,a_merged_998630,2401,506462
a_1236,31,Conestoga Mall,muwtf_merged_998634,3101,503353
b_1131,11,Downtown Sunday,s_merged_998638,1112,552702
a_708,7,D UW via University,a_merged_998630,708,508145
a_2234,22,Laurentian West to Downtown,a_merged_998630,2212,506609
a_431,22,Laurentian West to Downtown,a_merged_998630,2212,506608
b_759,7,B Fairview Park via Weber,muwtf_merged_998639,711,545253
a_2234,22,Laurentian West to Forest Glen,a_merged_998630,2211,506601
a_2233,22,Laurentian West to Forest Glen,a_merged_998630,2211,506600
a_2232,22,Laurentian West to Forest Glen,a_merged_998630,2211,506603
a_2231,22,Laurentian West to Forest Glen,a_merged_998630,2211,506602
a_2233,22,Laurentian West to Forest Glen,a_merged_998630,2211,506605
a_2235,22,Laurentian West to Forest Glen,a_merged_998630,2211,506604
a_2231,22,Laurentian West to Forest Glen,a_merged_998630,2211,506607
a_2234,22,Laurentian West to Forest Glen,a_merged_998630,2211,506606
b_6451,64,Langs,muwtf_merged_998639,6401,548324
b_711,7,B Fairview Park via Weber,muwtf_merged_998639,711,545252
a_5132,51,Hespeler Road to Ainslie Terminal,muwtf_merged_998634,5111,502473
b_8024,200,iXpress to Conestoga Mall,muwtf_merged_998639,20001,548113
a_1238,31,Conestoga Mall,muwtf_merged_998634,3101,503338
b_706,7,B Fairview Park via Weber,muwtf_merged_998639,711,545251
b_5632,64,Cambridge Centre,a_merged_998635,6411,550437
b_6101,61,Cambridge Centre,muwtf_merged_998639,6111,547794
a_5631,60,Northview Acres,muwtf_merged_998634,6000,501543
b_6101,61,Cambridge Centre,muwtf_merged_998639,6111,547796
b_6102,61,Cambridge Centre,muwtf_merged_998639,6111,547797
b_6101,61,Conestoga College,muwtf_merged_998639,6100,547790
b_6102,61,Cambridge Centre,muwtf_merged_998639,6111,547791
b_6101,61,Cambridge Centre,muwtf_merged_998639,6111,547792
a_2281,23,Downtown,muwtf_merged_998634,2311,501234
b_708,7,D UW via University,muwtf_merged_998639,708,545217
b_6101,61,Cambridge Centre,muwtf_merged_998639,6111,547798
a_2231,23,Downtown,muwtf_merged_998634,2311,501237
b_757,7,D UW via University,muwtf_merged_998639,708,545250
